Employee_ID,Age,Department,Job_Level,Years_at_Company,Monthly_Hours_Worked,Remote_Work,Meetings_per_Week,Tasks_Completed_Per_Day,Overtime_Hours_Per_Week,Work_Life_Balance,Job_Satisfaction,Productivity_Score,Annual_Salary,Absences_Per_Year
4091,42,HR,Entry,29,181,No,12,16,14,Good,3,95.42,165159,0
4092,40,Operations,Entry,21,140,Hybrid,14,10,11,Poor,3,86.02,140633,19
4093,56,HR,Mid,18,170,No,11,7,1,Good,5,62.56,106910,1
4094,39,IT,Manager,27,217,Hybrid,11,4,3,Good,5,83.94,118341,9
4095,28,Marketing,Senior,16,186,Hybrid,4,11,0,Average,2,82.92,154872,17
4096,34,Sales,Mid,17,173,Yes,12,13,4,Average,6,77.62,163239,2
4097,33,Finance,Mid,20,126,No,7,10,11,Good,5,58.89,49516,12
4098,45,IT,Mid,7,130,Hybrid,7,17,12,Average,6,76.05,74624,9
4099,39,HR,Mid,19,214,No,11,5,6,Average,2,81.83,97576,6
4100,59,Operations,Manager,5,209,No,11,14,3,Average,6,77.56,161083,16
4101,33,IT,Senior,24,142,No,6,5,10,Good,7,66.68,97107,10
4102,24,HR,Senior,15,199,Hybrid,14,7,9,Average,8,85.15,44410,13
4103,46,IT,Senior,2,202,Yes,2,9,3,Good,8,81.96,39489,16
4104,56,HR,Mid,25,139,Yes,3,13,2,Good,1,61.64,130553,3
4105,37,Marketing,Mid,15,177,Yes,7,10,12,Average,1,68.92,130547,8
4106,34,Operations,Mid,21,193,Hybrid,1,13,1,Average,3,73.59,132043,3
4107,45,Sales,Entry,5,163,Yes,2,19,2,Excellent,8,92.55,138418,1
4108,33,HR,Entry,14,176,No,14,19,8,Average,6,55.22,104696,16
4109,23,Operations,Mid,19,141,Hybrid,5,8,10,Good,2,70.08,135587,6
4110,47,Marketing,Entry,2,206,Hybrid,1,9,3,Poor,4,54.69,78028,7
4111,31,Sales,Mid,25,127,Hybrid,14,3,8,Average,3,83.77,154166,8
4112,40,HR,Entry,27,132,No,2,4,3,Poor,7,70.4,127005,11
4113,43,Finance,Mid,20,196,Yes,10,18,12,Average,3,64.61,192632,19
4114,45,IT,Mid,21,126,No,12,12,11,Excellent,5,92.24,56007,0
4115,47,IT,Senior,19,148,Yes,10,5,9,Poor,8,99.74,153268,2
4116,26,IT,Mid,6,164,Yes,14,19,5,Good,1,86.41,93944,19
4117,37,HR,Senior,21,128,Hybrid,14,9,12,Good,9,50.49,48684,15
4118,58,Finance,Mid,19,209,Yes,13,18,0,Average,3,98.68,174210,2
4119,55,Finance,Senior,10,125,No,8,19,6,Good,6,56.98,66000,8
4120,59,Finance,Manager,16,152,Yes,2,14,2,Excellent,3,64.81,166714,17
4121,49,Operations,Entry,17,148,Yes,6,10,5,Good,5,70.79,120844,17
4122,33,Sales,Senior,10,202,No,10,17,10,Excellent,6,57.18,191113,6
4123,42,Operations,Entry,13,151,Yes,9,13,9,Average,5,71.31,108600,18
4124,53,HR,Mid,13,140,Yes,10,5,7,Poor,1,95.07,131284,3
4125,46,Marketing,Entry,27,176,No,14,8,7,Poor,9,63.16,67461,17
4126,35,Sales,Senior,14,136,No,11,9,7,Excellent,1,63.3,35636,15
4127,56,HR,Mid,19,217,Hybrid,5,9,7,Average,3,79.53,196066,15
4128,30,Finance,Mid,19,202,No,1,5,13,Average,7,83.46,114046,8
4129,51,Operations,Mid,5,180,No,1,19,13,Good,5,79.73,179557,4
4130,50,HR,Entry,9,194,Yes,1,16,2,Good,5,53.89,174370,11
4131,52,Finance,Entry,15,179,No,9,10,7,Average,8,94.0,92553,5
4132,35,Marketing,Mid,28,155,Hybrid,11,12,1,Good,9,86.69,119082,8
4133,38,Finance,Mid,12,142,Yes,1,5,5,Average,3,78.63,70654,9
4134,46,Sales,Entry,4,206,Yes,13,4,11,Average,4,72.32,199616,5
4135,58,HR,Mid,28,217,Hybrid,7,8,3,Average,3,98.74,103373,13
4136,48,IT,Entry,18,218,Yes,7,5,10,Good,8,91.89,167602,10
4137,39,Finance,Entry,1,136,No,9,8,10,Average,4,63.03,72010,17
4138,50,Finance,Mid,12,132,No,3,16,13,Poor,4,81.33,48296,16
4139,39,IT,Mid,23,215,No,13,18,1,Average,6,61.69,107105,2
4140,25,Sales,Entry,25,200,No,2,3,4,Good,4,78.55,110124,2
4141,41,Marketing,Mid,22,125,Yes,7,13,2,Good,5,86.61,59392,13
4142,22,Operations,Entry,9,182,Hybrid,8,12,4,Average,9,73.28,53911,0
4143,45,Marketing,Entry,4,162,No,2,19,8,Good,7,65.08,52634,4
4144,45,Sales,Entry,6,161,No,5,12,2,Good,9,67.05,129306,10
4145,26,HR,Entry,2,162,No,3,8,0,Average,9,93.06,50353,5
4146,47,Marketing,Mid,11,219,Yes,2,12,2,Poor,5,53.52,40535,10
4147,39,Operations,Mid,11,144,No,9,16,8,Average,4,95.61,136880,15
4148,57,Operations,Mid,26,175,Yes,11,9,14,Good,3,62.93,70967,1
4149,22,Operations,Mid,5,170,No,11,13,7,Average,3,80.78,85199,3
4150,31,Sales,Senior,23,186,No,8,13,0,Average,9,75.1,91311,0
4151,38,Operations,Senior,28,175,No,8,13,10,Excellent,7,65.71,188273,5
4152,56,Finance,Mid,6,182,No,13,8,9,Good,4,94.96,122809,6
4153,25,Operations,Mid,29,134,No,13,10,0,Poor,1,91.39,151061,12
4154,48,IT,Entry,1,182,Yes,14,16,6,Good,8,77.59,131297,4
4155,32,HR,Mid,3,165,Yes,10,5,5,Average,2,70.37,119403,2
4156,24,HR,Manager,21,137,No,9,11,2,Average,8,83.81,193176,11
4157,49,Operations,Senior,9,129,No,8,6,14,Poor,8,55.93,70429,18
4158,32,Finance,Mid,1,124,Hybrid,10,16,3,Excellent,3,97.36,60701,11
4159,24,Marketing,Entry,26,157,Yes,10,7,3,Good,8,94.46,129134,12
4160,57,HR,Senior,25,204,Hybrid,12,15,8,Excellent,6,75.56,190111,8
4161,24,IT,Mid,13,163,No,4,11,11,Good,5,91.74,67849,9
4162,46,Finance,Mid,17,120,Yes,6,17,9,Good,5,95.97,59912,5
4163,33,HR,Entry,16,172,Hybrid,9,12,9,Poor,1,56.57,146630,0
4164,33,Operations,Senior,12,163,Yes,4,13,5,Average,6,63.19,177390,7
4165,53,Finance,Entry,2,144,No,14,6,13,Average,4,60.55,139521,10
4166,31,Marketing,Senior,4,162,Hybrid,1,14,11,Poor,7,83.24,182790,12
4167,40,Operations,Mid,13,148,Yes,1,6,3,Average,4,99.15,62109,1
4168,28,Sales,Mid,6,161,Yes,5,15,10,Good,5,51.62,134221,5
4169,45,Finance,Mid,17,217,No,11,11,1,Poor,5,99.75,64819,17
4170,53,Marketing,Mid,23,178,No,14,14,10,Average,5,55.77,140401,2
4171,44,HR,Entry,29,202,Yes,7,9,9,Average,1,81.17,130378,11
4172,40,HR,Entry,16,173,Yes,7,18,9,Excellent,6,83.96,97241,6
4173,24,Marketing,Senior,25,170,Yes,10,10,4,Good,6,51.86,98955,4
4174,46,HR,Mid,25,163,No,7,17,1,Poor,3,66.65,133083,7
4175,46,HR,Mid,9,173,Hybrid,12,19,0,Excellent,9,73.37,187057,10
4176,27,HR,Entry,15,174,Hybrid,0,11,0,Good,2,95.36,162837,8
4177,54,Marketing,Mid,2,138,Hybrid,1,4,5,Average,2,85.1,55627,1
4178,54,Operations,Entry,29,219,No,9,8,8,Average,3,81.38,174288,5
4179,36,Marketing,Senior,2,180,No,10,10,11,Average,9,56.47,91260,15
4180,41,Finance,Entry,17,131,Hybrid,10,5,13,Average,1,64.5,55852,0
4181,53,IT,Entry,14,151,Hybrid,12,4,10,Good,1,71.98,146028,12
4182,45,Sales,Mid,15,205,Yes,4,16,4,Good,3,65.1,164657,14
4183,24,Operations,Mid,26,120,Yes,14,8,8,Poor,3,71.88,115292,2
4184,25,Operations,Entry,2,120,No,9,14,3,Average,2,96.0,89926,1
4185,27,HR,Senior,3,143,Yes,11,10,5,Average,3,80.26,164728,10
4186,40,IT,Manager,18,196,Hybrid,5,16,2,Good,4,75.92,80157,15
4187,47,Operations,Entry,5,168,No,8,11,6,Average,7,76.89,149914,13
4188,46,IT,Mid,4,211,No,0,8,3,Average,3,88.67,147699,10
4189,46,Marketing,Senior,29,216,Hybrid,1,14,5,Average,1,98.76,106747,17
4190,31,Marketing,Mid,7,209,Hybrid,10,18,14,Average,8,99.09,160911,17
4191,59,IT,Mid,7,136,No,5,8,5,Good,9,82.96,175385,16
4192,41,Marketing,Mid,23,144,Yes,9,16,14,Poor,9,68.41,71003,12
4193,26,Finance,Senior,5,182,Yes,9,15,3,Average,2,79.53,57989,7
4194,56,Finance,Manager,28,151,Hybrid,8,10,14,Poor,4,53.4,157973,3
4195,26,Sales,Senior,26,121,Yes,5,6,10,Average,4,58.09,84154,13
4196,56,Sales,Mid,20,149,Yes,9,10,10,Good,8,94.54,74440,7
4197,24,Operations,Mid,15,197,No,13,13,1,Poor,4,87.41,174403,4
4198,53,Operations,Manager,24,196,No,1,8,1,Average,7,62.22,60424,6
4199,57,Sales,Mid,20,156,Hybrid,2,10,13,Average,8,70.6,109180,15
4200,51,Operations,Entry,5,194,Yes,3,7,5,Good,2,53.11,175049,4
4201,50,HR,Mid,24,178,No,14,17,8,Good,5,93.22,144316,0
4202,47,Finance,Mid,14,164,Hybrid,7,19,13,Excellent,1,65.07,82226,13
4203,46,HR,Entry,29,167,Hybrid,8,13,5,Average,5,77.34,42434,0
4204,33,Finance,Entry,3,192,Yes,11,8,8,Excellent,3,99.31,128188,0
4205,39,Operations,Mid,23,219,Hybrid,13,5,1,Poor,1,59.02,163709,11
4206,47,IT,Manager,1,141,Hybrid,2,5,7,Poor,8,94.11,46937,16
4207,36,HR,Entry,2,187,Yes,12,11,13,Average,8,62.93,46217,11
4208,26,Sales,Mid,28,214,No,13,17,6,Good,2,55.74,196376,16
4209,54,Finance,Mid,13,162,Hybrid,13,14,2,Poor,7,51.1,160962,4
4210,30,Operations,Mid,29,184,No,5,11,11,Average,2,91.97,90589,5
4211,53,Sales,Manager,2,174,Yes,9,17,1,Excellent,8,50.1,113824,7
4212,34,Marketing,Manager,11,138,Hybrid,3,10,7,Average,3,97.61,150933,2
4213,49,Finance,Entry,5,183,Hybrid,6,9,0,Poor,1,59.17,42779,18
4214,44,Operations,Senior,12,128,No,6,19,8,Average,5,90.61,89739,6
4215,45,Operations,Senior,18,195,Hybrid,9,6,9,Good,9,93.08,39464,15
4216,52,Finance,Manager,20,158,Hybrid,1,12,7,Poor,5,54.25,186214,14
4217,26,Sales,Entry,17,162,No,8,5,1,Average,8,69.13,36932,15
4218,23,Sales,Manager,13,153,No,6,8,12,Excellent,5,63.84,153497,13
4219,51,Sales,Entry,6,194,No,11,17,6,Average,5,50.77,54580,1
4220,26,Finance,Senior,10,182,Yes,5,13,12,Average,7,71.17,122207,11
4221,31,IT,Senior,29,167,No,12,12,6,Poor,3,74.26,71144,17
4222,57,Marketing,Senior,1,166,No,8,9,9,Poor,8,83.97,122531,18
4223,57,Operations,Entry,18,136,Yes,1,6,11,Good,5,62.21,104711,16
4224,28,Sales,Senior,4,200,Yes,6,16,12,Average,4,92.33,86577,2
4225,50,Operations,Entry,4,199,No,11,14,2,Poor,9,73.98,111646,15
4226,53,IT,Mid,9,163,Hybrid,3,19,13,Average,2,83.53,101961,7
4227,48,Operations,Senior,5,142,Hybrid,8,8,10,Average,3,73.41,137285,3
4228,22,Sales,Mid,10,159,Hybrid,4,18,11,Poor,4,54.07,137059,7
4229,41,Finance,Mid,12,131,Yes,0,6,12,Average,2,99.95,198137,18
4230,55,IT,Mid,20,206,Hybrid,12,7,13,Poor,1,88.93,157763,4
4231,57,Operations,Senior,5,170,No,8,15,13,Poor,5,99.06,41461,0
4232,47,Finance,Mid,23,202,Hybrid,3,15,5,Average,8,91.11,62871,9
4233,44,HR,Entry,25,169,Yes,1,16,14,Poor,5,72.87,60916,19
4234,54,Sales,Mid,25,215,No,12,3,14,Average,7,84.52,47111,11
4235,22,Marketing,Mid,1,184,Yes,6,16,9,Good,3,91.77,158411,6
4236,24,IT,Mid,20,198,Hybrid,14,6,2,Average,1,82.19,92783,1
4237,56,HR,Senior,15,167,No,3,3,3,Good,1,82.53,57649,16
4238,56,Sales,Manager,20,143,No,12,10,10,Average,9,60.04,149632,8
4239,34,HR,Entry,7,180,Yes,4,15,9,Good,9,55.48,99676,15
4240,54,IT,Entry,12,173,No,4,11,7,Poor,5,86.72,131388,14
4241,34,Marketing,Senior,14,172,Yes,13,6,3,Good,7,78.28,122346,4
4242,43,IT,Mid,22,168,Yes,0,16,7,Average,6,86.62,135546,2
4243,26,Marketing,Senior,24,209,No,5,3,4,Good,9,79.14,51776,3
4244,38,Operations,Mid,12,159,Yes,7,7,12,Average,5,50.63,48834,4
4245,31,Finance,Senior,20,143,Yes,7,12,14,Average,3,98.64,144009,19
4246,48,Sales,Mid,16,193,No,7,11,4,Average,1,56.14,166215,10
4247,36,HR,Manager,28,189,No,12,10,13,Average,2,85.53,94352,8
4248,30,Finance,Mid,24,185,Yes,13,15,9,Poor,8,80.74,45388,5
4249,28,Sales,Entry,11,153,Yes,1,15,14,Poor,2,62.39,169367,13
4250,31,HR,Entry,22,137,Hybrid,12,18,10,Good,3,91.39,187807,4
4251,34,Finance,Senior,18,207,Yes,8,4,5,Average,8,63.09,65806,5
4252,37,Sales,Manager,1,195,No,12,4,10,Poor,2,53.52,179233,0
4253,55,Sales,Senior,26,143,No,8,7,11,Average,4,84.66,106681,7
4254,29,Finance,Senior,14,191,No,3,7,1,Poor,7,66.3,199436,18
4255,52,IT,Mid,13,120,Hybrid,9,14,3,Poor,5,58.15,70633,7
4256,49,Marketing,Mid,25,164,No,8,7,9,Average,4,58.81,62545,4
4257,28,Operations,Entry,8,144,Hybrid,2,12,14,Average,4,50.79,53533,3
4258,55,Marketing,Senior,16,129,No,10,16,7,Good,8,65.22,155736,8
4259,54,Operations,Mid,1,219,No,3,3,8,Good,1,63.81,152516,15
4260,25,Operations,Senior,28,160,Yes,12,13,0,Poor,9,74.09,82860,12
4261,59,Operations,Manager,4,126,Yes,1,7,8,Average,2,73.97,128283,19
4262,47,IT,Entry,16,170,Hybrid,6,6,1,Good,9,83.97,58260,2
4263,23,Sales,Entry,13,212,No,7,13,12,Average,3,75.61,132073,19
4264,53,HR,Entry,18,145,Yes,5,9,1,Good,9,90.69,142648,9
4265,23,IT,Entry,2,218,Yes,11,15,0,Good,6,93.72,128263,16
4266,47,Sales,Mid,23,151,Hybrid,12,16,7,Average,6,77.6,35509,10
4267,48,Finance,Mid,10,169,Yes,11,3,14,Average,4,92.38,83119,12
4268,36,Finance,Mid,5,159,No,4,19,11,Average,1,99.51,147107,8
4269,42,Operations,Mid,11,215,Hybrid,4,17,13,Average,8,83.09,179934,10
4270,48,Sales,Entry,2,152,Hybrid,2,9,11,Excellent,6,59.55,46712,16
4271,55,Operations,Entry,1,201,Hybrid,11,8,2,Excellent,1,76.67,95831,4
4272,32,Finance,Entry,17,205,Hybrid,4,19,9,Average,3,53.06,147798,11
4273,44,Marketing,Mid,4,134,Yes,13,19,14,Poor,1,88.97,51697,7
4274,43,IT,Senior,20,142,No,9,5,8,Good,8,52.12,155790,16
4275,44,Marketing,Manager,2,132,No,9,3,10,Poor,5,74.11,58156,8
4276,22,Sales,Mid,18,141,Hybrid,11,5,1,Average,5,96.53,178478,0
4277,33,IT,Entry,4,205,No,0,6,4,Good,5,92.43,174227,10
4278,46,Finance,Mid,24,183,No,13,16,12,Poor,6,52.49,196217,17
4279,27,IT,Mid,22,212,Hybrid,10,5,14,Average,8,69.11,108162,16
4280,55,IT,Entry,1,122,Hybrid,14,7,11,Excellent,9,66.29,111897,13
4281,49,Finance,Manager,14,138,No,13,7,6,Average,3,53.55,50614,7
4282,46,Operations,Entry,24,168,No,2,19,9,Poor,5,55.54,70444,6
4283,39,HR,Mid,21,219,No,9,7,6,Poor,1,78.24,108196,18
4284,22,Finance,Senior,29,170,Hybrid,2,5,3,Poor,7,66.25,162728,18
4285,53,Marketing,Manager,13,158,No,11,5,9,Average,6,52.16,198123,19
4286,50,Operations,Entry,10,189,Yes,14,11,1,Good,6,92.57,180992,9
4287,41,HR,Entry,13,133,Yes,0,11,5,Average,3,77.26,61292,5
4288,34,Marketing,Mid,11,147,Yes,5,13,5,Good,1,85.16,184434,5
4289,33,Sales,Mid,6,150,No,11,11,12,Excellent,2,84.8,152871,12
4290,29,Marketing,Entry,23,176,No,9,9,8,Poor,3,53.98,101031,13
4291,29,Operations,Entry,26,164,Yes,10,16,12,Average,9,50.22,57401,5
4292,39,Operations,Mid,6,209,Hybrid,6,19,13,Average,3,92.24,197945,19
4293,42,Operations,Entry,19,125,No,11,9,4,Average,5,98.58,147531,16
4294,49,IT,Entry,10,161,Yes,8,14,8,Good,4,77.93,80630,7
4295,52,Operations,Mid,18,122,Hybrid,5,11,14,Average,5,75.78,166829,13
4296,36,Operations,Entry,13,128,No,4,19,9,Poor,8,55.97,125836,11
4297,54,Sales,Manager,16,122,No,2,15,10,Average,1,77.95,118768,5
4298,59,HR,Mid,18,200,No,10,5,10,Average,1,51.06,188488,19
4299,44,Marketing,Mid,3,146,No,4,18,5,Good,5,89.53,180470,1
4300,37,Sales,Entry,15,170,Yes,14,3,13,Good,6,75.96,145426,12
4301,45,Marketing,Senior,22,133,Yes,7,7,7,Excellent,2,85.84,193954,0
4302,42,IT,Entry,17,168,No,10,9,12,Good,2,73.85,130172,10
4303,29,IT,Manager,3,123,Hybrid,11,5,12,Good,1,86.99,114668,2
4304,38,HR,Senior,28,167,No,5,17,3,Excellent,6,77.56,49703,12
4305,36,Finance,Mid,2,191,Hybrid,14,7,8,Poor,1,76.67,133029,5
4306,35,Operations,Mid,27,130,No,13,18,10,Average,7,68.56,107351,3
4307,41,Finance,Entry,13,180,Yes,6,18,7,Average,7,64.29,177868,7
4308,53,IT,Mid,4,205,No,1,7,11,Excellent,9,88.29,178268,2
4309,32,Sales,Senior,1,171,No,2,10,12,Average,9,85.52,147554,16
4310,59,HR,Entry,11,152,Yes,9,18,1,Average,5,95.06,132313,17
4311,53,Marketing,Entry,19,163,Yes,7,19,3,Poor,9,89.34,55590,11
4312,25,Marketing,Senior,11,151,Hybrid,1,6,14,Poor,2,53.69,89931,4
4313,50,Sales,Mid,20,207,No,5,11,6,Average,6,97.71,60331,7
4314,26,Finance,Mid,5,121,No,3,15,1,Average,3,87.48,159803,18
4315,33,IT,Senior,15,214,No,13,6,11,Poor,1,67.29,98611,13
4316,44,IT,Entry,20,126,Hybrid,7,17,11,Good,5,82.25,112237,2
4317,54,HR,Mid,29,170,Yes,12,13,6,Average,3,88.21,191250,9
4318,37,IT,Mid,5,204,Hybrid,13,4,5,Good,2,56.83,148213,2
4319,32,Finance,Mid,17,181,Yes,10,15,10,Good,3,98.31,186172,16
4320,29,Finance,Senior,8,131,Hybrid,0,13,13,Good,5,82.53,105630,12
4321,54,Sales,Mid,2,186,Hybrid,2,17,5,Average,9,51.0,73184,2
4322,55,HR,Mid,6,199,Yes,11,14,7,Average,6,77.67,108689,8
4323,42,HR,Senior,18,141,Yes,3,16,12,Average,1,59.71,52445,19
4324,59,IT,Senior,27,194,Yes,6,12,8,Poor,4,62.56,64671,2
4325,38,Operations,Mid,18,158,No,4,5,2,Average,7,53.45,92888,17
4326,55,Marketing,Senior,14,133,No,1,9,0,Excellent,4,70.87,186889,8
4327,24,HR,Entry,24,196,Yes,8,17,2,Average,3,63.23,74276,5
4328,45,IT,Entry,3,135,No,10,5,9,Good,3,91.82,52324,17
4329,43,Marketing,Mid,28,211,Yes,0,8,8,Poor,4,93.03,43380,14
4330,31,IT,Mid,24,190,No,9,13,9,Average,8,51.34,41866,15
4331,26,Sales,Entry,2,137,Yes,1,8,1,Average,1,88.63,169109,0
4332,52,HR,Entry,17,198,No,0,12,6,Average,3,51.94,38612,1
4333,45,IT,Senior,1,201,No,11,17,9,Average,5,72.35,69009,6
4334,32,Sales,Senior,23,166,Yes,14,6,3,Poor,1,55.21,179675,14
4335,35,IT,Entry,8,194,Yes,1,6,10,Poor,1,78.04,178601,1
4336,25,Finance,Mid,1,194,No,13,11,2,Average,8,97.8,47087,1
4337,29,IT,Mid,28,170,Hybrid,10,17,3,Good,9,61.53,198373,17
4338,28,Finance,Mid,19,158,No,0,7,9,Poor,8,91.98,72771,11
4339,56,HR,Manager,12,136,Hybrid,7,11,11,Average,9,89.18,134865,16
4340,53,IT,Mid,4,179,Hybrid,9,12,10,Average,2,88.0,79465,16
4341,43,Sales,Mid,12,125,No,11,4,4,Poor,6,63.34,189392,3
4342,43,HR,Mid,24,165,Yes,6,8,13,Poor,3,80.98,121805,9
4343,47,HR,Entry,23,188,Yes,0,12,7,Average,4,54.27,172123,18
4344,57,Operations,Senior,21,152,No,11,17,0,Average,4,74.18,140203,0
4345,50,Finance,Manager,12,204,No,10,19,7,Good,6,96.0,127699,1
4346,25,HR,Mid,7,174,No,14,18,5,Average,3,75.58,128726,6
4347,52,IT,Senior,18,192,No,14,19,12,Average,2,51.69,108380,6
4348,43,IT,Mid,7,152,Hybrid,7,4,1,Good,4,84.91,172674,10
4349,29,Finance,Mid,11,188,No,4,16,6,Average,6,93.63,89948,3
4350,42,IT,Entry,1,139,No,8,6,4,Average,5,59.86,103160,13
4351,36,Operations,Mid,22,142,No,2,18,3,Good,8,57.89,179756,9
4352,25,Finance,Manager,8,156,Hybrid,11,8,5,Good,7,51.41,86339,13
4353,26,Marketing,Entry,7,217,Hybrid,3,19,3,Average,7,88.12,54738,6
4354,57,Finance,Entry,21,199,Hybrid,3,8,0,Average,1,95.59,54440,4
4355,23,Sales,Mid,27,165,No,0,17,9,Good,4,74.44,182413,6
4356,29,Sales,Entry,19,146,No,2,3,2,Average,3,63.89,163564,13
4357,25,Operations,Mid,28,182,Hybrid,3,4,8,Average,7,96.25,180809,6
4358,34,IT,Entry,23,123,Yes,3,11,6,Average,7,59.92,106354,2
4359,35,Marketing,Manager,9,177,Hybrid,12,6,14,Good,4,71.18,74745,10
4360,30,Sales,Mid,27,134,No,2,17,1,Excellent,1,95.21,162038,3
4361,49,Sales,Entry,10,203,No,7,3,7,Average,7,99.39,131628,18
4362,59,Sales,Entry,23,177,No,5,17,5,Average,1,63.23,54927,3
4363,33,IT,Mid,1,170,Yes,10,10,10,Average,8,97.57,193815,14
4364,49,HR,Mid,26,179,Yes,12,17,13,Average,1,74.08,76118,17
4365,34,HR,Entry,13,188,No,3,17,14,Good,3,81.8,63373,9
4366,42,Operations,Mid,27,199,Hybrid,1,8,8,Excellent,6,87.99,159382,9
4367,59,HR,Senior,13,153,Yes,13,18,11,Poor,3,68.57,91151,15
4368,47,Operations,Senior,16,197,No,7,3,12,Good,5,91.73,105746,19
4369,46,IT,Mid,23,210,No,14,18,13,Average,2,96.15,81311,1
4370,43,HR,Senior,26,185,No,11,6,7,Average,8,88.1,194767,8
4371,29,Operations,Mid,29,148,Yes,9,11,12,Average,1,55.83,186630,11
4372,58,Finance,Entry,15,124,No,13,19,6,Average,6,52.67,52871,3
4373,43,IT,Mid,2,211,Yes,11,8,13,Average,9,65.07,119166,0
4374,34,IT,Senior,15,121,Yes,2,14,8,Good,5,88.65,110746,6
4375,58,Marketing,Senior,7,217,Yes,13,10,1,Good,4,92.92,38444,10
4376,35,Sales,Mid,12,122,Yes,10,12,9,Good,9,70.5,89003,3
4377,39,Marketing,Mid,12,160,No,1,11,10,Good,1,56.17,105121,13
4378,54,HR,Mid,5,141,Hybrid,0,10,6,Excellent,5,87.33,189924,3
4379,28,IT,Mid,6,181,Hybrid,6,19,13,Average,4,92.05,169438,12
4380,31,Operations,Mid,6,167,Yes,0,10,6,Good,4,55.46,63936,4
4381,51,IT,Mid,26,209,No,11,19,6,Poor,9,71.24,123943,5
4382,55,HR,Entry,19,124,Hybrid,12,12,7,Average,2,82.11,182898,10
4383,24,Operations,Entry,15,123,No,14,18,5,Poor,2,87.68,191856,10
4384,33,Sales,Entry,9,152,No,11,9,6,Average,3,97.53,149645,14
4385,57,Marketing,Manager,13,200,Yes,1,16,7,Good,7,60.01,170196,6
4386,52,Sales,Mid,3,169,No,14,3,8,Good,8,95.46,92098,7
4387,44,HR,Entry,15,127,Yes,9,9,8,Excellent,7,92.42,100817,8
4388,29,Marketing,Mid,2,167,Hybrid,6,6,1,Good,1,75.13,190242,1
4389,22,Marketing,Mid,2,132,No,2,4,4,Good,4,79.59,162879,9
4390,56,Sales,Mid,29,145,No,11,6,8,Good,7,85.0,104456,18
4391,36,Sales,Manager,7,170,Hybrid,4,6,0,Average,9,94.83,172612,6
4392,49,IT,Entry,27,154,No,14,11,3,Average,2,77.76,157596,11
4393,33,IT,Senior,14,166,Hybrid,3,9,2,Good,4,60.88,46963,16
4394,22,Sales,Manager,13,183,No,3,7,6,Average,3,71.37,140389,7
4395,32,Operations,Mid,12,146,Yes,3,14,10,Average,7,66.6,80670,6
4396,58,HR,Manager,7,165,No,0,16,11,Average,7,97.46,35918,15
4397,23,Sales,Entry,2,153,Hybrid,4,19,5,Excellent,3,55.07,106230,12
4398,56,Operations,Mid,15,182,Hybrid,11,6,7,Poor,2,73.26,130489,17
4399,29,IT,Senior,4,213,No,8,6,9,Excellent,5,99.4,57869,2
4400,52,Marketing,Manager,21,210,Yes,3,8,1,Average,2,75.23,88421,1
4401,42,Operations,Entry,18,162,No,4,7,10,Average,6,71.79,76863,10
4402,24,HR,Mid,24,208,Yes,2,6,0,Average,3,83.17,191459,2
4403,46,IT,Manager,6,212,Yes,8,18,7,Poor,4,61.26,145692,5
4404,49,HR,Entry,21,143,Hybrid,1,11,8,Good,4,92.33,86249,10
4405,49,HR,Entry,24,136,Hybrid,1,13,14,Poor,5,73.8,56355,11
4406,23,Marketing,Mid,22,163,No,0,14,9,Poor,1,70.66,38073,11
4407,29,Operations,Mid,25,185,Hybrid,1,12,9,Poor,2,71.23,184600,13
4408,22,IT,Entry,11,180,Yes,9,19,5,Average,7,84.15,39948,17
4409,42,Sales,Manager,7,159,Yes,1,6,7,Average,7,82.86,183524,18
4410,36,HR,Mid,8,199,Yes,12,19,7,Good,8,75.6,193294,2
4411,29,HR,Mid,10,122,Hybrid,5,3,11,Average,7,79.81,198565,7
4412,43,Marketing,Senior,7,142,Hybrid,6,11,4,Average,8,93.32,71468,16
4413,41,Operations,Mid,7,126,No,14,19,10,Poor,6,90.37,98026,19
4414,34,IT,Mid,24,207,Hybrid,1,14,3,Average,2,76.09,169066,8
4415,47,Operations,Mid,6,175,Hybrid,10,5,2,Average,6,96.6,120773,4
4416,28,HR,Senior,26,191,Yes,6,3,12,Good,6,73.02,170048,1
4417,32,HR,Entry,4,181,No,14,17,4,Average,5,65.43,65073,4
4418,52,Finance,Mid,9,204,Hybrid,4,14,3,Average,4,57.9,39954,11
4419,55,Finance,Senior,24,200,No,0,14,8,Good,7,61.23,175728,11
4420,32,HR,Senior,4,146,Hybrid,3,14,14,Good,2,83.84,70911,15
4421,45,Operations,Entry,3,162,Hybrid,13,15,9,Good,2,78.84,174040,3
4422,46,Operations,Mid,29,195,No,14,5,13,Good,3,56.54,87060,16
4423,54,Operations,Mid,25,208,Yes,14,17,13,Average,8,73.9,169679,6
4424,50,Marketing,Senior,12,173,Yes,8,8,13,Average,3,57.68,114521,14
4425,42,Sales,Entry,21,158,Yes,7,5,1,Good,3,70.24,181488,2
4426,54,Finance,Entry,11,214,Hybrid,12,10,4,Good,6,62.15,54444,3
4427,27,Finance,Senior,11,161,Hybrid,1,11,0,Poor,3,74.43,49643,16
4428,58,IT,Manager,8,149,No,3,7,0,Average,1,93.16,100093,15
4429,23,Sales,Mid,9,161,No,11,18,12,Average,4,64.88,191525,8
